Miner ID,Block Depth,Transaction ID,Redaction Profit,Performance Time (ms),Blockchain Length,# of Tx
0,1,11119127876,0.009156791,0,5,10
0,4,58910314688,0.002791095,0.997543335,5,13
0,4,28798528075,0.043243868,0,5,13
0,2,33439491616,0.025857155,0.997781754,5,5
0,5,96110016562,0.003856757,10.93173027,5,18
0,5,19008384279,0.013686864,0.992059708,5,18
0,4,1778701301,0.043327894,0.993728638,5,13
0,1,48436448882,0.027673189,0,5,9
0,3,88027375485,0.092079607,0.998020172,5,16
0,2,54345667323,0.018614698,0,5,4
0,5,96110016562,0.037606881,0.996589661,5,18
0,2,46046616571,0.005106897,0,5,3
0,2,18495575617,0.027017188,0,5,2
0,1,85832597541,0.003383874,1.03020668,5,8
0,1,99828493075,0.069271535,0,5,8
0,4,7052390955,0.021295209,0.994443893,5,12
0,5,7404895938,0.01767751,0,5,18
0,12,92642043216,0.032365034,1.008272171,12,11
0,11,40666420860,0.017723741,0.753164291,12,18
0,6,68238621081,0.002473459,0,6,22
0,4,73687068051,0.01428332,0,6,26
0,1,91069796937,0.008655214,0,6,21
0,1,83777040137,0.044884643,0,6,20
0,1,96142644270,0.004970487,0,6,20
0,5,39445259386,0.0093846,8.48531723,6,19
0,4,27517790472,0.083018032,2.155303955,6,25
0,4,18883315694,0.014150063,0,6,24
0,3,7513829221,0.102064688,0,6,24
0,1,23879867595,0.073619835,0,6,20
0,6,98622269028,0.019211958,18.86081696,6,22
0,4,32452804869,0.017220737,0,6,23
0,4,32142391318,0.020015018,2.003669739,6,23
0,4,91937527265,0.054638872,0,6,23
0,5,96162320133,0.018923282,0,6,19
0,6,39835016651,0.029769636,18.87774467,6,22
0,5,71266603656,0.028494187,0,6,18
0,2,76775792328,0.00925962,18.98097992,8,25
0,7,12980045586,0.018426141,0,8,23
0,1,95075872923,0.052369707,0,8,17
0,7,1978457863,0.028054358,2.141714096,8,22
0,2,88357857388,0.05015888,0,8,25
0,5,29150832797,0.028392208,18.95523071,8,17
0,4,47723100263,0.012843627,0,8,26
0,2,98535882110,0.025162484,0,8,25
0,3,25237124167,0.036766894,2.058029175,8,18
0,8,21942863084,0.070239802,0,8,11
0,5,60151592573,0.030867501,0,5,28
0,1,47821791377,0.002196667,0,5,23
0,2,33322773263,0.002191664,0,5,26
0,5,99526490089,0.008032561,0,5,28
0,2,31454407923,0.006528988,18.9743042,5,26
0,2,69963925186,0.002303047,0,5,26
0,4,66457578341,0.027839618,0,5,26
0,5,58391246343,0.003320246,2.056121826,5,28
0,5,82143808747,0.0527744,19.01698112,5,28
0,4,73067077091,0.003243743,0,5,26
0,2,99099712651,0.067136791,0,5,26
0,1,48554020281,0.02673984,2.127408981,5,22
0,1,27575427769,0.082953803,0,5,22
0,4,18732979423,0.029984987,18.77593994,5,26
0,5,84904214099,0.010369173,0,5,28
0,1,2082254440,0.051284455,0,5,22
0,2,42114755573,0.005165839,2.058029175,5,26
0,2,59217646577,0.023765971,0,5,25
